Date,Day,Month,MonthName,Quarter,Year,Weekday,IsWeekend,Season,Holiday,DateRaw,IsHoliday
2025-08-18,18,8,August,Q3,2025,Monday,No,Summer,None,2025-08-18,0
2025-08-19,19,8,August,Q3,2025,Tuesday,No,Summer,None,2025-08-19,0
2025-08-20,20,8,August,Q3,2025,Wednesday,No,Summer,None,2025-08-20,0
2025-08-21,21,8,August,Q3,2025,Thursday,No,Summer,None,2025-08-21,0
2025-08-22,22,8,August,Q3,2025,Friday,No,Summer,None,2025-08-22,0
2025-08-23,23,8,August,Q3,2025,Saturday,Yes,Summer,None,2025-08-23,0
2025-08-24,24,8,August,Q3,2025,Sunday,Yes,Summer,None,2025-08-24,0
2025-08-25,25,8,August,Q3,2025,Monday,No,Summer,None,2025-08-25,0
2025-08-26,26,8,August,Q3,2025,Tuesday,No,Summer,None,2025-08-26,0
2025-08-27,27,8,August,Q3,2025,Wednesday,No,Summer,None,2025-08-27,0
2025-08-28,28,8,August,Q3,2025,Thursday,No,Summer,None,2025-08-28,0
2025-08-29,29,8,August,Q3,2025,Friday,No,Summer,None,2025-08-29,0
2025-08-30,30,8,August,Q3,2025,Saturday,Yes,Summer,None,2025-08-30,0
2025-08-31,31,8,August,Q3,2025,Sunday,Yes,Summer,None,2025-08-31,0
2025-09-01,1,9,September,Q3,2025,Monday,No,Autumn,None,2025-09-01,0
2025-09-02,2,9,September,Q3,2025,Tuesday,No,Autumn,None,2025-09-02,0
2025-09-03,3,9,September,Q3,2025,Wednesday,No,Autumn,None,2025-09-03,0
2025-09-04,4,9,September,Q3,2025,Thursday,No,Autumn,None,2025-09-04,0
2025-09-05,5,9,September,Q3,2025,Friday,No,Autumn,None,2025-09-05,0
2025-09-06,6,9,September,Q3,2025,Saturday,Yes,Autumn,None,2025-09-06,0
2025-09-07,7,9,September,Q3,2025,Sunday,Yes,Autumn,None,2025-09-07,0
2025-09-08,8,9,September,Q3,2025,Monday,No,Autumn,None,2025-09-08,0
2025-09-09,9,9,September,Q3,2025,Tuesday,No,Autumn,None,2025-09-09,0
2025-09-10,10,9,September,Q3,2025,Wednesday,No,Autumn,None,2025-09-10,0
2025-09-11,11,9,September,Q3,2025,Thursday,No,Autumn,None,2025-09-11,0
2025-09-12,12,9,September,Q3,2025,Friday,No,Autumn,None,2025-09-12,0
2025-09-13,13,9,September,Q3,2025,Saturday,Yes,Autumn,None,2025-09-13,0
2025-09-14,14,9,September,Q3,2025,Sunday,Yes,Autumn,None,2025-09-14,0
2025-09-15,15,9,September,Q3,2025,Monday,No,Autumn,None,2025-09-15,0
2025-09-16,16,9,September,Q3,2025,Tuesday,No,Autumn,None,2025-09-16,0
2025-09-17,17,9,September,Q3,2025,Wednesday,No,Autumn,None,2025-09-17,0
2025-09-18,18,9,September,Q3,2025,Thursday,No,Autumn,None,2025-09-18,0
2025-09-19,19,9,September,Q3,2025,Friday,No,Autumn,None,2025-09-19,0
2025-09-20,20,9,September,Q3,2025,Saturday,Yes,Autumn,None,2025-09-20,0
2025-09-21,21,9,September,Q3,2025,Sunday,Yes,Autumn,None,2025-09-21,0
2025-09-22,22,9,September,Q3,2025,Monday,No,Autumn,None,2025-09-22,0
2025-09-23,23,9,September,Q3,2025,Tuesday,No,Autumn,None,2025-09-23,0
2025-09-24,24,9,September,Q3,2025,Wednesday,No,Autumn,None,2025-09-24,0
2025-09-25,25,9,September,Q3,2025,Thursday,No,Autumn,None,2025-09-25,0
2025-09-26,26,9,September,Q3,2025,Friday,No,Autumn,None,2025-09-26,0
2025-09-27,27,9,September,Q3,2025,Saturday,Yes,Autumn,None,2025-09-27,0
2025-09-28,28,9,September,Q3,2025,Sunday,Yes,Autumn,None,2025-09-28,0
2025-09-29,29,9,September,Q3,2025,Monday,No,Autumn,None,2025-09-29,0
2025-09-30,30,9,September,Q3,2025,Tuesday,No,Autumn,None,2025-09-30,0
2025-10-01,1,10,October,Q4,2025,Wednesday,No,Autumn,None,2025-10-01,0
2025-10-02,2,10,October,Q4,2025,Thursday,No,Autumn,None,2025-10-02,0
2025-10-03,3,10,October,Q4,2025,Friday,No,Autumn,None,2025-10-03,0
2025-10-04,4,10,October,Q4,2025,Saturday,Yes,Autumn,None,2025-10-04,0
2025-10-05,5,10,October,Q4,2025,Sunday,Yes,Autumn,None,2025-10-05,0
2025-10-06,6,10,October,Q4,2025,Monday,No,Autumn,None,2025-10-06,0
2025-10-07,7,10,October,Q4,2025,Tuesday,No,Autumn,None,2025-10-07,0
2025-10-08,8,10,October,Q4,2025,Wednesday,No,Autumn,None,2025-10-08,0
2025-10-09,9,10,October,Q4,2025,Thursday,No,Autumn,None,2025-10-09,0
2025-10-10,10,10,October,Q4,2025,Friday,No,Autumn,None,2025-10-10,0
2025-10-11,11,10,October,Q4,2025,Saturday,Yes,Autumn,None,2025-10-11,0
2025-10-12,12,10,October,Q4,2025,Sunday,Yes,Autumn,None,2025-10-12,0
2025-10-13,13,10,October,Q4,2025,Monday,No,Autumn,None,2025-10-13,0
2025-10-14,14,10,October,Q4,2025,Tuesday,No,Autumn,None,2025-10-14,0
2025-10-15,15,10,October,Q4,2025,Wednesday,No,Autumn,None,2025-10-15,0
2025-10-16,16,10,October,Q4,2025,Thursday,No,Autumn,None,2025-10-16,0
2025-10-17,17,10,October,Q4,2025,Friday,No,Autumn,None,2025-10-17,0
2025-10-18,18,10,October,Q4,2025,Saturday,Yes,Autumn,None,2025-10-18,0
2025-10-19,19,10,October,Q4,2025,Sunday,Yes,Autumn,None,2025-10-19,0
2025-10-20,20,10,October,Q4,2025,Monday,No,Autumn,None,2025-10-20,0
2025-10-21,21,10,October,Q4,2025,Tuesday,No,Autumn,None,2025-10-21,0
2025-10-22,22,10,October,Q4,2025,Wednesday,No,Autumn,None,2025-10-22,0
2025-10-23,23,10,October,Q4,2025,Thursday,No,Autumn,None,2025-10-23,0
2025-10-24,24,10,October,Q4,2025,Friday,No,Autumn,None,2025-10-24,0
2025-10-25,25,10,October,Q4,2025,Saturday,Yes,Autumn,None,2025-10-25,0
2025-10-26,26,10,October,Q4,2025,Sunday,Yes,Autumn,None,2025-10-26,0
2025-10-27,27,10,October,Q4,2025,Monday,No,Autumn,None,2025-10-27,0
2025-10-28,28,10,October,Q4,2025,Tuesday,No,Autumn,None,2025-10-28,0
2025-10-29,29,10,October,Q4,2025,Wednesday,No,Autumn,None,2025-10-29,0
2025-10-30,30,10,October,Q4,2025,Thursday,No,Autumn,None,2025-10-30,0
2025-10-31,31,10,October,Q4,2025,Friday,No,Autumn,Halloween,2025-10-31,1
2025-11-01,1,11,November,Q4,2025,Saturday,Yes,Autumn,None,2025-11-01,0
2025-11-02,2,11,November,Q4,2025,Sunday,Yes,Autumn,None,2025-11-02,0
2025-11-03,3,11,November,Q4,2025,Monday,No,Autumn,None,2025-11-03,0
2025-11-04,4,11,November,Q4,2025,Tuesday,No,Autumn,None,2025-11-04,0
2025-11-05,5,11,November,Q4,2025,Wednesday,No,Autumn,None,2025-11-05,0
2025-11-06,6,11,November,Q4,2025,Thursday,No,Autumn,None,2025-11-06,0
2025-11-07,7,11,November,Q4,2025,Friday,No,Autumn,None,2025-11-07,0
2025-11-08,8,11,November,Q4,2025,Saturday,Yes,Autumn,None,2025-11-08,0
2025-11-09,9,11,November,Q4,2025,Sunday,Yes,Autumn,None,2025-11-09,0
2025-11-10,10,11,November,Q4,2025,Monday,No,Autumn,None,2025-11-10,0
2025-11-11,11,11,November,Q4,2025,Tuesday,No,Autumn,None,2025-11-11,0
2025-11-12,12,11,November,Q4,2025,Wednesday,No,Autumn,None,2025-11-12,0
2025-11-13,13,11,November,Q4,2025,Thursday,No,Autumn,None,2025-11-13,0
2025-11-14,14,11,November,Q4,2025,Friday,No,Autumn,None,2025-11-14,0
2025-11-15,15,11,November,Q4,2025,Saturday,Yes,Autumn,None,2025-11-15,0
2025-11-16,16,11,November,Q4,2025,Sunday,Yes,Autumn,None,2025-11-16,0
2025-11-17,17,11,November,Q4,2025,Monday,No,Autumn,None,2025-11-17,0
